,Year,City,Type of structure,Type of unit,Rent Price
120459,2022,Hamilton,Row and apartment structures of three units and over,Three bedroom units,1567.0
120461,2022,Hamilton,Row structures of three units and over,One bedroom units,1503.0
120462,2022,Hamilton,Row structures of three units and over,Two bedroom units,1430.0
120463,2022,Hamilton,Row structures of three units and over,Three bedroom units,1520.0
120464,2022,Hamilton,Apartment structures of three units and over,Bachelor units,945.0
120465,2022,Hamilton,Apartment structures of three units and over,One bedroom units,1197.0
120466,2022,Hamilton,Apartment structures of three units and over,Two bedroom units,1438.0
120467,2022,Hamilton,Apartment structures of three units and over,Three bedroom units,1592.0
120468,2022,Hamilton,Apartment structures of six units and over,Bachelor units,970.0
120469,2022,Hamilton,Apartment structures of six units and over,One bedroom units,1203.0
120470,2022,Hamilton,Apartment structures of six units and over,Two bedroom units,1440.0
120471,2022,Hamilton,Apartment structures of six units and over,Three bedroom units,1588.0
120472,2022,Hawkesbury,Row and apartment structures of three units and over,Bachelor units,533.0
120473,2022,Hawkesbury,Row and apartment structures of three units and over,One bedroom units,640.0
120474,2022,Hawkesbury,Row and apartment structures of three units and over,Two bedroom units,798.0
120475,2022,Hawkesbury,Row and apartment structures of three units and over,Three bedroom units,911.0
120479,2022,Hawkesbury,Row structures of three units and over,Three bedroom units,879.0
120480,2022,Hawkesbury,Apartment structures of three units and over,Bachelor units,533.0
120481,2022,Hawkesbury,Apartment structures of three units and over,One bedroom units,640.0
120482,2022,Hawkesbury,Apartment structures of three units and over,Two bedroom units,796.0
120485,2022,Hawkesbury,Apartment structures of six units and over,One bedroom units,650.0
120486,2022,Hawkesbury,Apartment structures of six units and over,Two bedroom units,829.0
120489,2022,Huntsville,Row and apartment structures of three units and over,One bedroom units,957.0
120490,2022,Huntsville,Row and apartment structures of three units and over,Two bedroom units,1148.0
120497,2022,Huntsville,Apartment structures of three units and over,One bedroom units,957.0
120498,2022,Huntsville,Apartment structures of three units and over,Two bedroom units,1146.0
120501,2022,Huntsville,Apartment structures of six units and over,One bedroom units,958.0
120502,2022,Huntsville,Apartment structures of six units and over,Two bedroom units,1213.0
120505,2022,Ingersoll,Row and apartment structures of three units and over,One bedroom units,1111.0
120506,2022,Ingersoll,Row and apartment structures of three units and over,Two bedroom units,1250.0
120513,2022,Ingersoll,Apartment structures of three units and over,One bedroom units,1070.0
120517,2022,Ingersoll,Apartment structures of six units and over,One bedroom units,1070.0
120520,2022,Kawartha Lakes,Row and apartment structures of three units and over,Bachelor units,777.0
120521,2022,Kawartha Lakes,Row and apartment structures of three units and over,One bedroom units,1070.0
120522,2022,Kawartha Lakes,Row and apartment structures of three units and over,Two bedroom units,1316.0
120523,2022,Kawartha Lakes,Row and apartment structures of three units and over,Three bedroom units,1294.0
120528,2022,Kawartha Lakes,Apartment structures of three units and over,Bachelor units,777.0
120529,2022,Kawartha Lakes,Apartment structures of three units and over,One bedroom units,1070.0
120530,2022,Kawartha Lakes,Apartment structures of three units and over,Two bedroom units,1292.0
120531,2022,Kawartha Lakes,Apartment structures of three units and over,Three bedroom units,1294.0
120532,2022,Kawartha Lakes,Apartment structures of six units and over,Bachelor units,775.0
120533,2022,Kawartha Lakes,Apartment structures of six units and over,One bedroom units,1085.0
120534,2022,Kawartha Lakes,Apartment structures of six units and over,Two bedroom units,1343.0
120537,2022,Kenora,Row and apartment structures of three units and over,One bedroom units,836.0
120538,2022,Kenora,Row and apartment structures of three units and over,Two bedroom units,1008.0
120545,2022,Kenora,Apartment structures of three units and over,One bedroom units,836.0
120546,2022,Kenora,Apartment structures of three units and over,Two bedroom units,1008.0
120549,2022,Kenora,Apartment structures of six units and over,One bedroom units,780.0
120550,2022,Kenora,Apartment structures of six units and over,Two bedroom units,875.0
120553,2022,Kincardine,Row and apartment structures of three units and over,One bedroom units,1166.0
120554,2022,Kincardine,Row and apartment structures of three units and over,Two bedroom units,1374.0
120561,2022,Kincardine,Apartment structures of three units and over,One bedroom units,1166.0
120562,2022,Kincardine,Apartment structures of three units and over,Two bedroom units,1374.0
120565,2022,Kincardine,Apartment structures of six units and over,One bedroom units,1166.0
120566,2022,Kincardine,Apartment structures of six units and over,Two bedroom units,1307.0
120570,2022,Kings Subdivision,Row and apartment structures of three units and over,Two bedroom units,984.0
120578,2022,Kings Subdivision,Apartment structures of three units and over,Two bedroom units,972.0
120582,2022,Kings Subdivision,Apartment structures of six units and over,Two bedroom units,827.0
120584,2022,Kingston,Row and apartment structures of three units and over,Bachelor units,975.0
120585,2022,Kingston,Row and apartment structures of three units and over,One bedroom units,1212.0
120586,2022,Kingston,Row and apartment structures of three units and over,Two bedroom units,1463.0
120587,2022,Kingston,Row and apartment structures of three units and over,Three bedroom units,1862.0
120592,2022,Kingston,Apartment structures of three units and over,Bachelor units,975.0
120593,2022,Kingston,Apartment structures of three units and over,One bedroom units,1212.0
120594,2022,Kingston,Apartment structures of three units and over,Two bedroom units,1471.0
120595,2022,Kingston,Apartment structures of three units and over,Three bedroom units,1918.0
120596,2022,Kingston,Apartment structures of six units and over,Bachelor units,972.0
120597,2022,Kingston,Apartment structures of six units and over,One bedroom units,1219.0
120598,2022,Kingston,Apartment structures of six units and over,Two bedroom units,1483.0
120599,2022,Kingston,Apartment structures of six units and over,Three bedroom units,1700.0
120600,2022,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,Bachelor units,1063.0
120601,2022,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,One bedroom units,1240.0
120602,2022,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,Two bedroom units,1454.0
120603,2022,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,Three bedroom units,1590.0
120605,2022,Kitchener-Cambridge-Waterloo,Row structures of three units and over,One bedroom units,1066.0
120606,2022,Kitchener-Cambridge-Waterloo,Row structures of three units and over,Two bedroom units,1187.0
120607,2022,Kitchener-Cambridge-Waterloo,Row structures of three units and over,Three bedroom units,1454.0
120608,2022,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,Bachelor units,1075.0
120609,2022,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,One bedroom units,1245.0
120610,2022,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,Two bedroom units,1469.0
120611,2022,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,Three bedroom units,1689.0
120612,2022,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,Bachelor units,1090.0
120613,2022,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,One bedroom units,1258.0
120614,2022,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,Two bedroom units,1479.0
120615,2022,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,Three bedroom units,1712.0
120618,2022,Lambton Shores,Row and apartment structures of three units and over,Two bedroom units,1297.0
120626,2022,Lambton Shores,Apartment structures of three units and over,Two bedroom units,1297.0
120630,2022,Lambton Shores,Apartment structures of six units and over,Two bedroom units,1297.0
120633,2022,Leamington,Row and apartment structures of three units and over,One bedroom units,916.0
120634,2022,Leamington,Row and apartment structures of three units and over,Two bedroom units,1079.0
120635,2022,Leamington,Row and apartment structures of three units and over,Three bedroom units,1215.0
120641,2022,Leamington,Apartment structures of three units and over,One bedroom units,918.0
120642,2022,Leamington,Apartment structures of three units and over,Two bedroom units,1069.0
120643,2022,Leamington,Apartment structures of three units and over,Three bedroom units,1360.0
120645,2022,Leamington,Apartment structures of six units and over,One bedroom units,932.0
120646,2022,Leamington,Apartment structures of six units and over,Two bedroom units,1067.0
120647,2022,Leamington,Apartment structures of six units and over,Three bedroom units,1376.0
120648,2022,London,Row and apartment structures of three units and over,Bachelor units,860.0
120649,2022,London,Row and apartment structures of three units and over,One bedroom units,1124.0
120650,2022,London,Row and apartment structures of three units and over,Two bedroom units,1394.0
120651,2022,London,Row and apartment structures of three units and over,Three bedroom units,1509.0
120654,2022,London,Row structures of three units and over,Two bedroom units,1415.0
120655,2022,London,Row structures of three units and over,Three bedroom units,1444.0
120656,2022,London,Apartment structures of three units and over,Bachelor units,860.0
120657,2022,London,Apartment structures of three units and over,One bedroom units,1124.0
120658,2022,London,Apartment structures of three units and over,Two bedroom units,1393.0
120659,2022,London,Apartment structures of three units and over,Three bedroom units,1607.0
120660,2022,London,Apartment structures of six units and over,Bachelor units,896.0
120661,2022,London,Apartment structures of six units and over,One bedroom units,1139.0
120662,2022,London,Apartment structures of six units and over,Two bedroom units,1412.0
120663,2022,London,Apartment structures of six units and over,Three bedroom units,1701.0
120665,2022,Meaford,Row and apartment structures of three units and over,One bedroom units,842.0
120666,2022,Meaford,Row and apartment structures of three units and over,Two bedroom units,1044.0
120673,2022,Meaford,Apartment structures of three units and over,One bedroom units,851.0
120674,2022,Meaford,Apartment structures of three units and over,Two bedroom units,1069.0
120677,2022,Meaford,Apartment structures of six units and over,One bedroom units,897.0
120678,2022,Meaford,Apartment structures of six units and over,Two bedroom units,1098.0
120681,2022,Midland,Row and apartment structures of three units and over,One bedroom units,1147.0
120689,2022,Midland,Apartment structures of three units and over,One bedroom units,1147.0
120693,2022,Midland,Apartment structures of six units and over,One bedroom units,1211.0
120694,2022,Midland,Apartment structures of six units and over,Two bedroom units,1416.0
120696,2022,Mississippi Mills,Row and apartment structures of three units and over,Bachelor units,0.0
120697,2022,Mississippi Mills,Row and apartment structures of three units and over,One bedroom units,0.0
120698,2022,Mississippi Mills,Row and apartment structures of three units and over,Two bedroom units,0.0
120699,2022,Mississippi Mills,Row and apartment structures of three units and over,Three bedroom units,0.0
120700,2022,Mississippi Mills,Row structures of three units and over,Bachelor units,0.0
120701,2022,Mississippi Mills,Row structures of three units and over,One bedroom units,0.0
120702,2022,Mississippi Mills,Row structures of three units and over,Two bedroom units,0.0
120703,2022,Mississippi Mills,Row structures of three units and over,Three bedroom units,0.0
120704,2022,Mississippi Mills,Apartment structures of three units and over,Bachelor units,0.0
120705,2022,Mississippi Mills,Apartment structures of three units and over,One bedroom units,0.0
120706,2022,Mississippi Mills,Apartment structures of three units and over,Two bedroom units,0.0
120707,2022,Mississippi Mills,Apartment structures of three units and over,Three bedroom units,0.0
120708,2022,Mississippi Mills,Apartment structures of six units and over,Bachelor units,0.0
120709,2022,Mississippi Mills,Apartment structures of six units and over,One bedroom units,0.0
120710,2022,Mississippi Mills,Apartment structures of six units and over,Two bedroom units,0.0
120711,2022,Mississippi Mills,Apartment structures of six units and over,Three bedroom units,0.0
120712,2022,Norfolk,Row and apartment structures of three units and over,Bachelor units,610.0
120713,2022,Norfolk,Row and apartment structures of three units and over,One bedroom units,892.0
120714,2022,Norfolk,Row and apartment structures of three units and over,Two bedroom units,1040.0
120720,2022,Norfolk,Apartment structures of three units and over,Bachelor units,610.0
120721,2022,Norfolk,Apartment structures of three units and over,One bedroom units,892.0
120722,2022,Norfolk,Apartment structures of three units and over,Two bedroom units,1043.0
120724,2022,Norfolk,Apartment structures of six units and over,Bachelor units,610.0
120725,2022,Norfolk,Apartment structures of six units and over,One bedroom units,865.0
120726,2022,Norfolk,Apartment structures of six units and over,Two bedroom units,1059.0
120728,2022,North Bay,Row and apartment structures of three units and over,Bachelor units,691.0
120729,2022,North Bay,Row and apartment structures of three units and over,One bedroom units,927.0
120730,2022,North Bay,Row and apartment structures of three units and over,Two bedroom units,1143.0
120731,2022,North Bay,Row and apartment structures of three units and over,Three bedroom units,1276.0
120734,2022,North Bay,Row structures of three units and over,Two bedroom units,1209.0
120735,2022,North Bay,Row structures of three units and over,Three bedroom units,1250.0
120736,2022,North Bay,Apartment structures of three units and over,Bachelor units,691.0
120737,2022,North Bay,Apartment structures of three units and over,One bedroom units,927.0
120738,2022,North Bay,Apartment structures of three units and over,Two bedroom units,1139.0
120739,2022,North Bay,Apartment structures of three units and over,Three bedroom units,1310.0
120740,2022,North Bay,Apartment structures of six units and over,Bachelor units,702.0
120741,2022,North Bay,Apartment structures of six units and over,One bedroom units,968.0
120742,2022,North Bay,Apartment structures of six units and over,Two bedroom units,1180.0
120743,2022,North Bay,Apartment structures of six units and over,Three bedroom units,1263.0
120744,2022,North Grenville,Row and apartment structures of three units and over,Bachelor units,0.0
120745,2022,North Grenville,Row and apartment structures of three units and over,One bedroom units,0.0
120746,2022,North Grenville,Row and apartment structures of three units and over,Two bedroom units,0.0
120747,2022,North Grenville,Row and apartment structures of three units and over,Three bedroom units,0.0
120748,2022,North Grenville,Row structures of three units and over,Bachelor units,0.0
120749,2022,North Grenville,Row structures of three units and over,One bedroom units,0.0
120750,2022,North Grenville,Row structures of three units and over,Two bedroom units,0.0
120751,2022,North Grenville,Row structures of three units and over,Three bedroom units,0.0
120752,2022,North Grenville,Apartment structures of three units and over,Bachelor units,0.0
120753,2022,North Grenville,Apartment structures of three units and over,One bedroom units,0.0
120754,2022,North Grenville,Apartment structures of three units and over,Two bedroom units,0.0
120755,2022,North Grenville,Apartment structures of three units and over,Three bedroom units,0.0
120756,2022,North Grenville,Apartment structures of six units and over,Bachelor units,0.0
120757,2022,North Grenville,Apartment structures of six units and over,One bedroom units,0.0
120758,2022,North Grenville,Apartment structures of six units and over,Two bedroom units,0.0
120759,2022,North Grenville,Apartment structures of six units and over,Three bedroom units,0.0
120761,2022,North Perth,Row and apartment structures of three units and over,One bedroom units,1009.0
120762,2022,North Perth,Row and apartment structures of three units and over,Two bedroom units,1010.0
120763,2022,North Perth,Row and apartment structures of three units and over,Three bedroom units,1223.0
120769,2022,North Perth,Apartment structures of three units and over,One bedroom units,1009.0
120770,2022,North Perth,Apartment structures of three units and over,Two bedroom units,974.0
120771,2022,North Perth,Apartment structures of three units and over,Three bedroom units,1223.0
120773,2022,North Perth,Apartment structures of six units and over,One bedroom units,1009.0
120774,2022,North Perth,Apartment structures of six units and over,Two bedroom units,1016.0
120775,2022,North Perth,Apartment structures of six units and over,Three bedroom units,1223.0
120776,2022,Orillia,Row and apartment structures of three units and over,Bachelor units,867.0
120777,2022,Orillia,Row and apartment structures of three units and over,One bedroom units,1145.0
120778,2022,Orillia,Row and apartment structures of three units and over,Two bedroom units,1237.0
120779,2022,Orillia,Row and apartment structures of three units and over,Three bedroom units,1407.0
120784,2022,Orillia,Apartment structures of three units and over,Bachelor units,867.0
120785,2022,Orillia,Apartment structures of three units and over,One bedroom units,1147.0
120786,2022,Orillia,Apartment structures of three units and over,Two bedroom units,1240.0
120787,2022,Orillia,Apartment structures of three units and over,Three bedroom units,1555.0
120788,2022,Orillia,Apartment structures of six units and over,Bachelor units,922.0
120789,2022,Orillia,Apartment structures of six units and over,One bedroom units,1172.0
120790,2022,Orillia,Apartment structures of six units and over,Two bedroom units,1323.0
120792,2022,Oshawa,Row and apartment structures of three units and over,Bachelor units,1081.0
120793,2022,Oshawa,Row and apartment structures of three units and over,One bedroom units,1284.0
120794,2022,Oshawa,Row and apartment structures of three units and over,Two bedroom units,1463.0
120795,2022,Oshawa,Row and apartment structures of three units and over,Three bedroom units,1888.0
120799,2022,Oshawa,Row structures of three units and over,Three bedroom units,2048.0
120800,2022,Oshawa,Apartment structures of three units and over,Bachelor units,1081.0
120801,2022,Oshawa,Apartment structures of three units and over,One bedroom units,1286.0
120802,2022,Oshawa,Apartment structures of three units and over,Two bedroom units,1450.0
120803,2022,Oshawa,Apartment structures of three units and over,Three bedroom units,1731.0
120804,2022,Oshawa,Apartment structures of six units and over,Bachelor units,1090.0
120805,2022,Oshawa,Apartment structures of six units and over,One bedroom units,1292.0
120806,2022,Oshawa,Apartment structures of six units and over,Two bedroom units,1459.0
120807,2022,Oshawa,Apartment structures of six units and over,Three bedroom units,1762.0
120808,2022,Ottawa-Gatineau,Row and apartment structures of three units and over,Bachelor units,1088.0
120809,2022,Ottawa-Gatineau,Row and apartment structures of three units and over,One bedroom units,1285.0
120810,2022,Ottawa-Gatineau,Row and apartment structures of three units and over,Two bedroom units,1499.0
120811,2022,Ottawa-Gatineau,Row and apartment structures of three units and over,Three bedroom units,1628.0
120813,2022,Ottawa-Gatineau,Row structures of three units and over,One bedroom units,1175.0
120814,2022,Ottawa-Gatineau,Row structures of three units and over,Two bedroom units,1633.0
120815,2022,Ottawa-Gatineau,Row structures of three units and over,Three bedroom units,1669.0
120816,2022,Ottawa-Gatineau,Apartment structures of three units and over,Bachelor units,1088.0
120817,2022,Ottawa-Gatineau,Apartment structures of three units and over,One bedroom units,1285.0
120818,2022,Ottawa-Gatineau,Apartment structures of three units and over,Two bedroom units,1494.0
120819,2022,Ottawa-Gatineau,Apartment structures of three units and over,Three bedroom units,1597.0
120820,2022,Ottawa-Gatineau,Apartment structures of six units and over,Bachelor units,1099.0
120821,2022,Ottawa-Gatineau,Apartment structures of six units and over,One bedroom units,1307.0
120822,2022,Ottawa-Gatineau,Apartment structures of six units and over,Two bedroom units,1515.0
120823,2022,Ottawa-Gatineau,Apartment structures of six units and over,Three bedroom units,1583.0
120824,2022,Ottawa-Gatineau,Row and apartment structures of three units and over,Bachelor units,1121.0
120825,2022,Ottawa-Gatineau,Row and apartment structures of three units and over,One bedroom units,1347.0
120826,2022,Ottawa-Gatineau,Row and apartment structures of three units and over,Two bedroom units,1627.0
120827,2022,Ottawa-Gatineau,Row and apartment structures of three units and over,Three bedroom units,1769.0
120829,2022,Ottawa-Gatineau,Row structures of three units and over,One bedroom units,1202.0
120830,2022,Ottawa-Gatineau,Row structures of three units and over,Two bedroom units,1658.0
120831,2022,Ottawa-Gatineau,Row structures of three units and over,Three bedroom units,1678.0
120832,2022,Ottawa-Gatineau,Apartment structures of three units and over,Bachelor units,1122.0
120833,2022,Ottawa-Gatineau,Apartment structures of three units and over,One bedroom units,1347.0
120834,2022,Ottawa-Gatineau,Apartment structures of three units and over,Two bedroom units,1625.0
120835,2022,Ottawa-Gatineau,Apartment structures of three units and over,Three bedroom units,1947.0
120836,2022,Ottawa-Gatineau,Apartment structures of six units and over,Bachelor units,1127.0
120837,2022,Ottawa-Gatineau,Apartment structures of six units and over,One bedroom units,1355.0
120838,2022,Ottawa-Gatineau,Apartment structures of six units and over,Two bedroom units,1629.0
120839,2022,Ottawa-Gatineau,Apartment structures of six units and over,Three bedroom units,1935.0
120840,2022,Owen Sound,Row and apartment structures of three units and over,Bachelor units,733.0
120841,2022,Owen Sound,Row and apartment structures of three units and over,One bedroom units,945.0
120842,2022,Owen Sound,Row and apartment structures of three units and over,Two bedroom units,1078.0
120843,2022,Owen Sound,Row and apartment structures of three units and over,Three bedroom units,1164.0
120848,2022,Owen Sound,Apartment structures of three units and over,Bachelor units,733.0
120849,2022,Owen Sound,Apartment structures of three units and over,One bedroom units,945.0
120850,2022,Owen Sound,Apartment structures of three units and over,Two bedroom units,1078.0
120851,2022,Owen Sound,Apartment structures of three units and over,Three bedroom units,1164.0
120852,2022,Owen Sound,Apartment structures of six units and over,Bachelor units,761.0
120853,2022,Owen Sound,Apartment structures of six units and over,One bedroom units,994.0
120854,2022,Owen Sound,Apartment structures of six units and over,Two bedroom units,1116.0
120855,2022,Owen Sound,Apartment structures of six units and over,Three bedroom units,1129.0
120857,2022,Pembroke,Row and apartment structures of three units and over,One bedroom units,827.0
120858,2022,Pembroke,Row and apartment structures of three units and over,Two bedroom units,1102.0
120865,2022,Pembroke,Apartment structures of three units and over,One bedroom units,827.0
120866,2022,Pembroke,Apartment structures of three units and over,Two bedroom units,1093.0
120869,2022,Pembroke,Apartment structures of six units and over,One bedroom units,875.0
120870,2022,Pembroke,Apartment structures of six units and over,Two bedroom units,1151.0
120873,2022,Petawawa,Row and apartment structures of three units and over,One bedroom units,808.0
120874,2022,Petawawa,Row and apartment structures of three units and over,Two bedroom units,1009.0
120881,2022,Petawawa,Apartment structures of three units and over,One bedroom units,808.0
120882,2022,Petawawa,Apartment structures of three units and over,Two bedroom units,1009.0
120885,2022,Petawawa,Apartment structures of six units and over,One bedroom units,857.0
120886,2022,Petawawa,Apartment structures of six units and over,Two bedroom units,993.0
120888,2022,Peterborough,Row and apartment structures of three units and over,Bachelor units,873.0
120889,2022,Peterborough,Row and apartment structures of three units and over,One bedroom units,1083.0
120890,2022,Peterborough,Row and apartment structures of three units and over,Two bedroom units,1336.0
120891,2022,Peterborough,Row and apartment structures of three units and over,Three bedroom units,1510.0
120893,2022,Peterborough,Row structures of three units and over,One bedroom units,913.0
120894,2022,Peterborough,Row structures of three units and over,Two bedroom units,1155.0
120895,2022,Peterborough,Row structures of three units and over,Three bedroom units,1496.0
120896,2022,Peterborough,Apartment structures of three units and over,Bachelor units,873.0
120897,2022,Peterborough,Apartment structures of three units and over,One bedroom units,1090.0
120898,2022,Peterborough,Apartment structures of three units and over,Two bedroom units,1339.0
120899,2022,Peterborough,Apartment structures of three units and over,Three bedroom units,1523.0
120900,2022,Peterborough,Apartment structures of six units and over,Bachelor units,884.0
120901,2022,Peterborough,Apartment structures of six units and over,One bedroom units,1113.0
120902,2022,Peterborough,Apartment structures of six units and over,Two bedroom units,1340.0
120903,2022,Peterborough,Apartment structures of six units and over,Three bedroom units,1506.0
120905,2022,Port Hope,Row and apartment structures of three units and over,One bedroom units,1566.0
120906,2022,Port Hope,Row and apartment structures of three units and over,Two bedroom units,1563.0
120907,2022,Port Hope,Row and apartment structures of three units and over,Three bedroom units,1840.0
120913,2022,Port Hope,Apartment structures of three units and over,One bedroom units,1566.0
120914,2022,Port Hope,Apartment structures of three units and over,Two bedroom units,1563.0
120915,2022,Port Hope,Apartment structures of three units and over,Three bedroom units,1840.0
120917,2022,Port Hope,Apartment structures of six units and over,One bedroom units,1566.0
120918,2022,Port Hope,Apartment structures of six units and over,Two bedroom units,1563.0
120919,2022,Port Hope,Apartment structures of six units and over,Three bedroom units,1840.0
120922,2022,Prince Edward,Row and apartment structures of three units and over,Two bedroom units,1146.0
120929,2022,Prince Edward,Apartment structures of three units and over,One bedroom units,1024.0
120930,2022,Prince Edward,Apartment structures of three units and over,Two bedroom units,1124.0
120933,2022,Prince Edward,Apartment structures of six units and over,One bedroom units,1019.0
120934,2022,Prince Edward,Apartment structures of six units and over,Two bedroom units,1044.0
120952,2022,St. Catharines-Niagara,Row and apartment structures of three units and over,Bachelor units,833.0
120953,2022,St. Catharines-Niagara,Row and apartment structures of three units and over,One bedroom units,1070.0
120954,2022,St. Catharines-Niagara,Row and apartment structures of three units and over,Two bedroom units,1258.0
120955,2022,St. Catharines-Niagara,Row and apartment structures of three units and over,Three bedroom units,1366.0
120958,2022,St. Catharines-Niagara,Row structures of three units and over,Two bedroom units,1139.0
120959,2022,St. Catharines-Niagara,Row structures of three units and over,Three bedroom units,1221.0
120960,2022,St. Catharines-Niagara,Apartment structures of three units and over,Bachelor units,833.0
120961,2022,St. Catharines-Niagara,Apartment structures of three units and over,One bedroom units,1071.0
120962,2022,St. Catharines-Niagara,Apartment structures of three units and over,Two bedroom units,1260.0
120963,2022,St. Catharines-Niagara,Apartment structures of three units and over,Three bedroom units,1420.0
120964,2022,St. Catharines-Niagara,Apartment structures of six units and over,Bachelor units,925.0
120965,2022,St. Catharines-Niagara,Apartment structures of six units and over,One bedroom units,1106.0
120966,2022,St. Catharines-Niagara,Apartment structures of six units and over,Two bedroom units,1288.0
120967,2022,St. Catharines-Niagara,Apartment structures of six units and over,Three bedroom units,1567.0
120968,2022,Sarnia,Row and apartment structures of three units and over,Bachelor units,873.0
120969,2022,Sarnia,Row and apartment structures of three units and over,One bedroom units,1007.0
120970,2022,Sarnia,Row and apartment structures of three units and over,Two bedroom units,1202.0
120971,2022,Sarnia,Row and apartment structures of three units and over,Three bedroom units,1462.0
120974,2022,Sarnia,Row structures of three units and over,Two bedroom units,1093.0
120975,2022,Sarnia,Row structures of three units and over,Three bedroom units,1397.0
120976,2022,Sarnia,Apartment structures of three units and over,Bachelor units,873.0
120977,2022,Sarnia,Apartment structures of three units and over,One bedroom units,1009.0
120978,2022,Sarnia,Apartment structures of three units and over,Two bedroom units,1217.0
120979,2022,Sarnia,Apartment structures of three units and over,Three bedroom units,1567.0
120980,2022,Sarnia,Apartment structures of six units and over,Bachelor units,894.0
120981,2022,Sarnia,Apartment structures of six units and over,One bedroom units,1022.0
120982,2022,Sarnia,Apartment structures of six units and over,Two bedroom units,1237.0
120983,2022,Sarnia,Apartment structures of six units and over,Three bedroom units,1635.0
120985,2022,Saugeen Shores,Row and apartment structures of three units and over,One bedroom units,982.0
120986,2022,Saugeen Shores,Row and apartment structures of three units and over,Two bedroom units,1457.0
120987,2022,Saugeen Shores,Row and apartment structures of three units and over,Three bedroom units,1448.0
120993,2022,Saugeen Shores,Apartment structures of three units and over,One bedroom units,982.0
120994,2022,Saugeen Shores,Apartment structures of three units and over,Two bedroom units,1433.0
120995,2022,Saugeen Shores,Apartment structures of three units and over,Three bedroom units,1448.0
120997,2022,Saugeen Shores,Apartment structures of six units and over,One bedroom units,1013.0
120998,2022,Saugeen Shores,Apartment structures of six units and over,Two bedroom units,1417.0
120999,2022,Saugeen Shores,Apartment structures of six units and over,Three bedroom units,1448.0
121000,2022,Sault Ste. Marie,Row and apartment structures of three units and over,Bachelor units,746.0
121001,2022,Sault Ste. Marie,Row and apartment structures of three units and over,One bedroom units,917.0
121002,2022,Sault Ste. Marie,Row and apartment structures of three units and over,Two bedroom units,1092.0
121003,2022,Sault Ste. Marie,Row and apartment structures of three units and over,Three bedroom units,1226.0
121006,2022,Sault Ste. Marie,Row structures of three units and over,Two bedroom units,1468.0
121007,2022,Sault Ste. Marie,Row structures of three units and over,Three bedroom units,1427.0
121008,2022,Sault Ste. Marie,Apartment structures of three units and over,Bachelor units,746.0
121009,2022,Sault Ste. Marie,Apartment structures of three units and over,One bedroom units,917.0
121010,2022,Sault Ste. Marie,Apartment structures of three units and over,Two bedroom units,1087.0
121011,2022,Sault Ste. Marie,Apartment structures of three units and over,Three bedroom units,1005.0
121012,2022,Sault Ste. Marie,Apartment structures of six units and over,Bachelor units,762.0
121013,2022,Sault Ste. Marie,Apartment structures of six units and over,One bedroom units,973.0
121014,2022,Sault Ste. Marie,Apartment structures of six units and over,Two bedroom units,1116.0
121015,2022,Sault Ste. Marie,Apartment structures of six units and over,Three bedroom units,1133.0
121017,2022,Scugog,Row and apartment structures of three units and over,One bedroom units,1112.0
121018,2022,Scugog,Row and apartment structures of three units and over,Two bedroom units,1265.0
121025,2022,Scugog,Apartment structures of three units and over,One bedroom units,1112.0
121026,2022,Scugog,Apartment structures of three units and over,Two bedroom units,1265.0
121032,2022,Stratford,Row and apartment structures of three units and over,Bachelor units,718.0
121033,2022,Stratford,Row and apartment structures of three units and over,One bedroom units,1284.0
121034,2022,Stratford,Row and apartment structures of three units and over,Two bedroom units,1454.0
121035,2022,Stratford,Row and apartment structures of three units and over,Three bedroom units,1488.0
121040,2022,Stratford,Apartment structures of three units and over,Bachelor units,718.0
121041,2022,Stratford,Apartment structures of three units and over,One bedroom units,1285.0
121042,2022,Stratford,Apartment structures of three units and over,Two bedroom units,1459.0
121043,2022,Stratford,Apartment structures of three units and over,Three bedroom units,1499.0
121044,2022,Stratford,Apartment structures of six units and over,Bachelor units,744.0
121045,2022,Stratford,Apartment structures of six units and over,One bedroom units,1315.0
121046,2022,Stratford,Apartment structures of six units and over,Two bedroom units,1502.0
121047,2022,Stratford,Apartment structures of six units and over,Three bedroom units,1531.0
121048,2022,Temiskaming Shores,Row and apartment structures of three units and over,Bachelor units,0.0
121049,2022,Temiskaming Shores,Row and apartment structures of three units and over,One bedroom units,0.0
121050,2022,Temiskaming Shores,Row and apartment structures of three units and over,Two bedroom units,0.0
121051,2022,Temiskaming Shores,Row and apartment structures of three units and over,Three bedroom units,0.0
121052,2022,Temiskaming Shores,Row structures of three units and over,Bachelor units,0.0
121053,2022,Temiskaming Shores,Row structures of three units and over,One bedroom units,0.0
121054,2022,Temiskaming Shores,Row structures of three units and over,Two bedroom units,0.0
